1.30, 2, 2, 90, 0.80, 0.80, 2.50, 0.00, 0.40, 1, 5, 5





1.40, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 1, 1, 1

1.40, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 1, 2, 2

1.40, 5, 1, 45, 0.00, 0.00, 50.30, 0.00, 0.00, 1, 3, 3

1.40, 1, 1, 70, 0.00, 0.00, 8.60, 0.00, 0.00, 1, 4, 4


1.40, 2, 2, 90, 0.90, 0.90, 2.50, 0.00, 0.40, 1, 5, 5





1.50, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 1, 1, 1

1.50, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 1, 2, 2

1.50, 5, 1, 45, 0.00, 0.00, 50.30, 0.00, 0.00, 1, 3, 3

1.50, 1, 1, 70, 0.00, 0.00, 8.60, 0.00, 0.00, 1, 4, 4


1.50, 2, 2, 90, 1.00, 1.00, 2.50, 0.00, 0.40, 1, 5, 5





1.60, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 1, 1, 1

1.60, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 1, 2, 2

1.60, 5, 1, 45, 0.00, 0.00, 50.30, 0.00, 0.00, 1, 3, 3

1.60, 1, 1, 70, 0.00, 0.00, 8.60, 0.00, 0.00, 1, 4, 4


1.60, 2, 2, 90, 1.10, 1.10, 2.50, 0.00, 0.40, 1, 5, 5





1.70, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 1, 1, 1

1.70, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 1, 2, 2

1.70, 5, 1, 45, 0.00, 0.00, 50.30, 0.00, 0.00, 1, 3, 3

1.70, 1, 1, 70, 0.00, 0.00, 8.60, 0.00, 0.00, 1, 4, 4


1.70, 2, 2, 90, 1.20, 1.20, 2.50, 0.00, 0.40, 1, 5, 5





1.80, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 1, 1, 1

1.80, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 1, 2, 2

1.80, 5, 1, 45, 0.00, 0.00, 50.30, 0.00, 0.00, 1, 3, 3

1.80, 1, 1, 70, 0.00, 0.00, 8.60, 0.00, 0.00, 1, 4, 4


1.80, 2, 2, 90, 1.30, 1.30, 2.50, 0.00, 0.40, 1, 5, 5





1.90, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 1, 1, 1

1.90, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 1, 2, 2

1.90, 5, 1, 45, 0.00, 0.00, 50.30, 0.00, 0.00, 1, 3, 3

1.90, 1, 1, 70, 0.00, 0.00, 8.60, 0.00, 0.00, 1, 4, 4


1.90, 2, 2, 90, 1.40, 1.40, 2.50, 0.00, 0.40, 1, 5, 5





2.00, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 1, 1, 1

2.00, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 1, 2, 2

2.00, 5, 1, 45, 0.00, 0.00, 50.30, 0.00, 0.00, 1, 3, 3

